Plot	Date Collected	Species	Sex	Weight (g) (calibrated) 	Weight (g) (not calibrated)									
1	2013-07-17	DM	M											
1	2013-12-10	DO	M	45										
1	2014-01-09	DM	M	40										
1	2014-01-09	DM	F	36										
1	2014-03-13	DM	F	51										
1	2014-03-13	DM	F	44										
1	2014-03-13	DS	F	146										
2	2013-07-17	DM	F	x										
2	2014-01-08	NA	x	x										
2	2014-01-08	DM	M	44										
2	2014-01-08	PF	F	7										
2	2014-01-08	DM	M	45										
2	2014-01-08	OT	x	x										
2	2014-01-08	DS	M	x	157									
2	2014-01-08	OX	x	x										
2	2014-02-18	NA	M	x	219									
2	2014-02-18	PF	F	7										
2	2014-02-18	DM	M	52										
3	2013-07-17	DM	M	x										
3	2013-07-18	DM	M	40										
3	2013-10-17	DO	F	33										
3	2013-10-17	DO	F	50										
3	11-03	PF	M	8										
3	04-08	NA	F	x										
3	05-06	x	x	x										
3	05-18	NA	F	185										
3	06-09	OT	F	29										
3	07-08	NA	F	115										
3	07-08	NA	M	190										
4	1978-01-08	DM	F	37										
4	1978-01-08	DM	M	x										
4	1978-01-08	DM	F	48										
4	1978-01-08	DO	M	52										
4	1978-01-08	OL	M	35										
4	2013-07-18	DM	F	29										
4	2013-11-13	DS	F	107										
4	2013-11-13	DS	F	115										
6	2013-07-18	DM	F	37										
7	2013-07-17	DM	M	33										
7	2013-07-18	DM	M	48										
8	2013-08-19	DO	F	52										
8	2013-12-11	DO	F	51										
9	2013-11-12	DS	F	117										
9	2013-12-10	DO	F	40										
11	2013-11-13	DS	F	126										
11	2013-11-13	DS	F	122										
14	2013-11-13	DS	M	x	132									
17	2013-11-13	DS	F	x	113									
														
	x indicates no data recorded													
